ClimateZone,UnitType,GasUse,ElectricityUse,DryerUse,NumFridges,HasGeneration,HasInternet,HasPoolPump,HasAircon,IsHomeDaytime
Warm temperate,NotUnit,HI,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,MED,LOW,2.0,N,Y,N,Y,N
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,MED,NONE,1.0,N,Y,N,N,N
Warm temperate,Unit,LOW,LOW,NONE,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,MED,NONE,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,MED,MED,NONE,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,MED,HI,MED,2.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,2.0,N,N,N,Y,Y
Warm temperate,NotUnit,MED,MED,LOW,2.0,N,Y,N,Y,N
Mild temperate,NotUnit,MED,LOW,NONE,1.0,N,N,N,Y,Y
Mild temperate,NotUnit,LOW,HI,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,LOW,NONE,2.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,N,N
Warm temperate,NotUnit,HI,LOW,MED,3.0,N,Y,N,Y,Y
Warm temperate,NotUnit,HI,LOW,NONE,2.0,N,Y,N,N,N
Warm temperate,NotUnit,HI,HI,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,LOW,MED,1.0,N,Y,N,N,N
Warm temperate,NotUnit,HI,HI,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,MED,LOW,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,LOW,MED,MED,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,MED,MED,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,MED,HI,1.0,N,Y,N,N,N
Warm temperate,NotUnit,LOW,LOW,MED,1.0,N,Y,N,N,N
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,MED,MED,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,LOW,LOW,HI,1.0,N,Y,N,N,N
Warm temperate,Unit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,LOW,LOW,HI,1.0,N,Y,N,Y,N
Warm temperate,Unit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,LOW,MED,LOW,2.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,HI,HI,LOW,3.0,Y,Y,Y,Y,N
Warm temperate,NotUnit,HI,MED,MED,2.0,N,Y,N,Y,Y
Warm temperate,NotUnit,HI,LOW,NONE,1.0,N,N,N,Y,Y
Warm temperate,Unit,LOW,LOW,LOW,1.0,N,Y,N,N,N
Warm temperate,NotUnit,LOW,HI,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,N,N,Y,Y
Warm temperate,NotUnit,LOW,LOW,HI,2.0,N,Y,Y,N,N
Warm temperate,NotUnit,LOW,LOW,LOW,3.0,N,Y,N,Y,Y
Warm temperate,Unit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,MED,HI,3.0,N,Y,N,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,1.0,N,N,N,N,Y
Warm temperate,NotUnit,LOW,HI,NONE,3.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,MED,NONE,1.0,N,Y,N,Y,Y
Warm temperate,Unit,LOW,LOW,MED,1.0,N,Y,N,Y,Y
Warm temperate,Unit,LOW,LOW,MED,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,MED,MED,LOW,2.0,N,Y,N,Y,N
Warm temperate,NotUnit,MED,LOW,LOW,2.0,N,Y,N,Y,Y
Warm temperate,NotUnit,MED,MED,LOW,2.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,2.0,N,Y,N,Y,N
Mild temperate,NotUnit,MED,MED,NONE,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,HI,LOW,LOW,1.0,N,N,N,Y,Y
Warm temperate,NotUnit,HI,LOW,LOW,1.0,N,N,N,Y,Y
Warm temperate,NotUnit,MED,HI,LOW,2.0,N,Y,N,Y,Y
Warm temperate,NotUnit,MED,MED,MED,3.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,HI,MED,3.0,N,Y,N,Y,N
Warm temperate,NotUnit,MED,HI,LOW,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,LOW,LOW,NONE,1.0,N,N,N,N,Y
Warm temperate,Unit,LOW,MED,HI,2.0,N,Y,N,Y,N
Warm temperate,Unit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,LOW,LOW,LOW,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,2.0,N,Y,N,N,Y
Mild temperate,Unit,LOW,LOW,LOW,1.0,N,Y,Y,Y,Y
Mild temperate,NotUnit,LOW,HI,NONE,3.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,LOW,MED,1.0,N,Y,N,Y,N
Warm temperate,Unit,LOW,LOW,MED,2.0,N,Y,N,Y,Y
Warm temperate,NotUnit,HI,MED,LOW,2.0,N,Y,N,Y,Y
Warm temperate,NotUnit,HI,HI,MED,2.0,N,Y,Y,N,Y
Warm temperate,Unit,LOW,LOW,NONE,2.0,N,N,N,Y,Y
Warm temperate,NotUnit,LOW,MED,MED,2.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,LOW,NONE,2.0,N,Y,N,Y,N
Warm temperate,NotUnit,LOW,MED,NONE,2.0,N,N,N,N,Y
Warm temperate,NotUnit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,HI,LOW,NONE,1.0,N,N,N,N,N
Warm temperate,NotUnit,LOW,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,LOW,HI,LOW,2.0,N,Y,Y,N,Y
Warm temperate,Unit,LOW,MED,NONE,1.0,N,Y,N,N,N
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,LOW,HI,MED,2.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,HI,LOW,2.0,N,Y,Y,N,N
Warm temperate,NotUnit,LOW,HI,LOW,2.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,NONE,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,LOW,LOW,MED,2.0,N,Y,N,N,Y
Warm temperate,NotUnit,MED,HI,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,1.0,N,Y,Y,Y,Y
Mild temperate,NotUnit,HI,LOW,HI,1.0,N,Y,N,N,Y
Warm temperate,NotUnit,HI,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,HI,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,HI,LOW,2.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,MED,NONE,1.0,N,Y,Y,Y,N
Warm temperate,NotUnit,HI,HI,LOW,1.0,N,Y,Y,N,Y
Warm temperate,NotUnit,HI,HI,LOW,2.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,HI,MED,LOW,2.0,N,Y,Y,Y,N
Warm temperate,NotUnit,LOW,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,LOW,LOW,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,Unit,LOW,HI,LOW,1.0,N,Y,N,Y,N
Warm temperate,NotUnit,HI,LOW,MED,1.0,N,Y,N,Y,Y
Warm temperate,NotUnit,MED,MED,LOW,1.0,N,Y,Y,Y,Y
Warm temperate,NotUnit,MED,LOW,LOW,1.0,N,Y,N,Y,Y
